session_id,target
1,0.0022189759409204906
2,2.5188873038498083e-09
3,6.159908335757416e-09
4,1.3226415121203692e-08
5,2.729086351418738e-05
6,0.00015117660965224646
7,0.0004423686576699539
8,0.00010124786720642864
9,0.0007768737443843484
10,0.10509546868166858
11,2.3798629418224536e-05
12,9.553211500169402e-05
13,0.00028651948634255504
14,0.35895998944941343
15,3.470976765487611e-05
16,0.003831402444185217
17,0.015396953509645124
18,2.83356401505505e-05
19,0.0007842997992380623
20,1.1894159633775911e-07
21,0.06460919584025741
22,6.36382864389321e-08
23,2.9089763638115882e-05
24,0.00033665329462084244
25,0.07080558164250497
26,2.2706755563311292e-09
27,0.0005339049661843163
28,2.133962591616989e-07
29,0.014133553843937649
30,5.522585957316703e-05
31,0.014111962365948298
32,0.04526459082398411
33,0.0005508521138167409
34,6.789386895229271e-08
35,0.014341353908629059
36,0.00033225329026688623
37,6.747934323592171e-09
38,8.106170727059246e-09
39,5.522585957316703e-05
40,2.5387527014506633e-05
41,0.0003970065222365501
42,0.001278690545490917
43,1.6095599815646906e-06
44,1.4018196836201715e-05
45,0.2396690704874989
46,5.286791997283556e-06
47,0.008975701931218914
48,0.0006108173503047231
49,2.4469861090049673e-05
50,7.637413290640961e-06
51,6.466436698980426e-08
52,5.872161110612998e-06
53,0.0373353610824445
54,5.789491443793452e-05
55,5.084379480918021e-06
56,0.001853422119708905
57,7.747080189184178e-07
58,1.101958106525916e-05
59,6.986564784378019e-06
60,5.253177962826117e-06
61,6.030418681588631e-06
62,0.0012781481349183144
63,6.476074701921714e-06
64,2.8502799730346984e-05
65,3.1619831616406184e-06
66,6.472495711625484e-08
67,0.00018031922650507185
68,0.00014306855729638327
69,0.0909864087110789
70,0.0001074535227682921
71,0.0001592305349226131
72,6.986564784378019e-06
73,0.029968523068684097
74,2.5188873038498083e-09
75,3.1982807196639045e-05
76,0.00032202657479592445
77,0.00013425422707631654
78,0.001422847108048026
79,5.7472025894690764e-06
80,0.00012342138170138653
81,1.796450160777392e-05
82,2.907778901349161e-05
83,2.4541385361809268e-08
84,0.25850678088479334
